"variable","rhat","ess_bulk","ess_tail"
"beta_tilde_1",1.00019130752884,18681.3365637367,55490.1798356288
"beta_tilde_2",1.00119190700048,2900.0417012974,11208.6630848087
"beta_tilde_3",1.00114393507182,4311.50310634064,7384.7552624571
"beta_tilde_4",1.00050985847316,21808.6386745621,32705.8318841356
"beta_tilde_5",1.00017137967602,98697.1000354639,75531.7493914554
"beta_tilde_6",1.00069630659837,15159.8352627067,10436.384674193
"beta_tilde_7",1.00045984197872,121191.145805107,85608.160658309
"beta_tilde_8",1.0003194154664,11411.1486178541,16311.7620639768
"beta_tilde_9",1.00017809951029,117011.728646383,98235.849350939
"beta_tilde_10",1.00015868218372,69498.0462397765,71059.5927322575
"beta_tilde_11",1.00020919315258,92379.0487177391,69183.9790671066
"beta_tilde_12",1.00025095645901,64068.318162468,62949.5600089093
"beta_tilde_13",1.00036552771176,69797.0213076851,79940.5607426481
"beta_tilde_14",1.00106995658216,30678.0122980744,18739.2458751622
"beta_tilde_15",1.00038464312694,22045.6605606914,19474.6353635763
"beta_tilde_16",1.00058125401544,23056.7141484292,22110.4625869274
"beta_tilde_17",1.00150473416659,9983.6126219259,13215.1518581847
"beta_tilde_18",1.00081636241434,10045.73467827,16441.9658220316
"beta_tilde_19",1.00029494745786,39105.3104875651,33830.2857673584
"beta_tilde_20",1.00056395691834,28353.6974619119,27980.4587238054
"beta_tilde_21",1.00049083368801,14421.8584603774,24157.1583611715
"beta_tilde_22",1.00088942906292,50562.8717727586,39979.7781082352
"beta_tilde_23",1.00072310523754,22045.2583152307,16220.0662561309
"beta_tilde_24",1.00031275751217,51428.1813493444,47716.2426851558
"beta_tilde_25",1.00023351361303,10874.0367680037,37934.6817221912
"beta_tilde_26",1.00036551696264,55793.9057791045,46460.5366002132
"beta_tilde_27",1.00011027324449,18062.0271340914,55265.061255447
"beta_tilde_28",1.00060427052846,26744.9666934083,28263.814358938
"beta_tilde_29",1.0004455294041,19485.6071210531,34099.9481925501
"beta_tilde_30",1.00081339276163,66218.5826469951,44425.3636225353
"beta_tilde_31",1.00052978043403,35590.5214064028,52537.9042890753
"beta_tilde_32",1.0002581710931,41654.9893202053,47547.5844769649
"beta_tilde_33",1.00023585508777,42381.5146442423,80113.8599218016
"beta_tilde_34",1.00029541571981,48111.7683107555,44782.9339622507
"beta_tilde_35",1.00008666545606,43698.3936692569,44179.133827949
"beta_tilde_36",1.000351522374,19263.5682380406,65825.4266761581
"beta_tilde_37",1.00010147681329,97732.7771057868,73510.5773279831
"beta_tilde_38",1.00025507498257,109135.357138713,88554.9362944354
"beta_tilde_39",1.00060726697437,15718.6163472693,15919.7728734302
"beta_tilde_40",1.00120551057685,18424.2927744041,6589.13217021901
"beta_tilde_41",1.00142519245555,9993.8142976243,4637.29343322898
"beta_tilde_42",1.00017271236666,113336.807593182,77211.4385404433
"beta_tilde_43",1.00026080327269,104278.790301311,73029.3946653337
"beta_tilde_44",1.00015826670414,81575.1672814153,64127.8957398322
