"variable","rhat","ess_bulk","ess_tail"
"beta_tilde_1",1.00022111033134,15495.5468558231,41411.3691455791
"beta_tilde_2",1.00080707329848,2836.30740404603,11074.5125453033
"beta_tilde_3",1.0004633576726,5739.60465263252,8264.08157327197
"beta_tilde_4",1.00060946668926,27423.8878677391,38005.6107154698
"beta_tilde_5",1.0003012283651,98256.0670696585,85039.1012965688
"beta_tilde_6",1.00106091733767,12208.7853697505,8922.8072906011
"beta_tilde_7",1.0002045246298,139482.709534525,87900.6145617877
"beta_tilde_8",1.00026215470864,13742.9178600791,14475.0230669733
"beta_tilde_9",1.00029214753372,128168.351391763,101890.206025903
"beta_tilde_10",1.00022038230545,64409.3789594996,81309.0263595584
"beta_tilde_11",1.00074166461148,90533.5009404219,62135.9218392479
"beta_tilde_12",1.00064295990509,61345.1237492465,50215.7030424969
"beta_tilde_13",1.00040011582708,83598.9218680166,75362.2942928815
"beta_tilde_14",1.00103697492964,25862.7359648946,18763.4002775121
"beta_tilde_15",1.00018513933042,19876.3048085748,20910.6466470919
"beta_tilde_16",1.00014651801231,23223.3718630268,24577.7350893165
"beta_tilde_17",1.00084203682172,7982.34267085807,13461.8567583934
"beta_tilde_18",1.00040991606991,11573.7179652647,17213.4355380074
"beta_tilde_19",1.00042072112143,38109.8541872691,29906.3002493747
"beta_tilde_20",1.00045238276132,36135.2000774038,34170.9057672387
"beta_tilde_21",1.00054213254775,13539.3159116191,24343.6351474261
"beta_tilde_22",1.00059446326134,53278.1157302652,38436.0291305065
"beta_tilde_23",1.00108455555737,20797.53901488,16501.8554063322
"beta_tilde_24",1.00044410621554,46845.0202616852,44433.5328663236
"beta_tilde_25",1.00016603763371,12154.1530000689,48642.0615177902
"beta_tilde_26",1.0001906631944,68708.1935211776,60172.1766386663
"beta_tilde_27",1.00067377869666,48408.585968914,44129.672333499
"beta_tilde_28",1.0005250208993,26808.6128485014,31924.350865126
"beta_tilde_29",1.00029685823031,15545.2168969226,32266.5429263436
"beta_tilde_30",1.00024747617058,59213.0913241101,39464.2466411958
"beta_tilde_31",1.00032851325928,42215.8716320095,57273.4159900171
"beta_tilde_32",1.00049315112687,40090.6090661977,46701.5021708998
"beta_tilde_33",1.00055082851958,38298.776453442,72920.4929659389
"beta_tilde_34",1.0009316748628,42445.0307094698,42414.1015819843
"beta_tilde_35",1.00045088152314,34444.8835406979,46308.2845563634
"beta_tilde_36",1.0002160702337,28266.5106654596,62441.8906104462
"beta_tilde_37",1.00045015457081,78399.2719794394,62333.9168845463
"beta_tilde_38",1.00015792103376,107997.736178567,88006.4871634485
"beta_tilde_39",1.00086554412805,15936.602791156,15675.7702078573
"beta_tilde_40",1.00215900799507,15355.918036161,5648.44070097611
"beta_tilde_41",1.00079880143379,7746.35255653587,4366.58664341127
"beta_tilde_42",1.00045910391975,111812.870531055,83102.1483244084
"beta_tilde_43",1.00021044793541,105087.614418961,75950.3558626234
"beta_tilde_44",1.00009731488006,70432.5296024933,62502.1270401814
"beta_tilde_45",1.00010843024884,31830.3861357786,100271.620138704
"beta_tilde_46",1.00029826651603,21843.6975434613,38230.0875345621
"beta_tilde_47",1.00073653550363,12160.9023020833,11756.3300672404
"beta_tilde_48",1.0008273322393,27765.8395747866,22198.6119136674
"beta_tilde_49",1.00014970104269,70422.5531559971,70757.3576982367
"beta_tilde_50",1.00078858076078,38159.2046035789,58750.8366848641
"beta_tilde_51",1.00020594922459,109405.763252376,83980.2650818488
"beta_tilde_52",1.00027431769334,139649.981045767,93937.9318153961
"beta_tilde_53",1.00012980009607,68874.5573713152,67075.1588600818
"beta_tilde_54",1.00033816985091,59590.7990885069,73440.0498044137
"beta_tilde_55",1.00021938905174,63949.4852279054,74153.8264981039
"beta_tilde_56",1.00021505422695,60085.0200980341,55662.6219696236
"beta_tilde_57",1.00060881152106,42893.9991478569,59210.2854239138
"pi_1",1.00000193092002,200405.332904591,199123.579131637
"pi_2",1.00172212272082,1613.20603835689,5965.68351479058
"pi_3",1.00059424313407,1711.96820707987,5563.62621384061
"pi_4",1.00252935513725,2306.64200880552,3506.06226020854
"pi_5",1.00131426581385,5731.00970612526,6544.73638427819
"pi_6",1.00253032284504,951.796392428331,3351.58944391741
"pi_7",1.00035807488718,6324.9621116733,6643.40868120987
"pi_8",1.00083905891163,1445.36219317554,3836.06798574795
"pi_9",1.00093883097609,7069.24070168128,7431.69831804446
"pi_10",1.00097757348452,5318.84256320524,5862.67685286022
"pi_11",1.00242088685666,3572.6245352746,4082.49807568148
"pi_12",1.00241016722854,3340.74636375853,3884.52080741692
"pi_13",1.00139376575026,5004.45446156967,6074.85818816822
"pi_14",1.00259978022726,1462.32063475921,3371.15045011631
"pi_15",1.00094501043475,1569.41672490332,3293.07165641626
"pi_16",1.0010378144436,1623.08751633542,3720.08834242441
"pi_17",1.00353644884814,1345.77314625536,3766.43876964085
"pi_18",1.00220212082793,1543.17195433799,3207.78087366207
"pi_19",1.0020052814479,1893.08558698321,3427.29026899551
"pi_20",1.00228951871364,2222.22696032061,3599.70148164645
"pi_21",1.00222673557831,2009.77365771637,4580.35213776686
"pi_22",1.00154032861949,2141.72269058174,3084.00941267398
"pi_23",1.00379390359433,1369.73963145952,2902.19936949886
"pi_24",1.00142001764734,2506.22208951467,3192.6557670347
"pi_25",0.999995944996224,199293.45607186,193418.509602822
"pi_26",1.00069160990764,3849.20949463807,5090.62255234456
"pi_27",1.00264240630905,2739.26610066701,4211.17648606864
"pi_28",1.00117300659838,2561.88320995541,4628.97412902199
"pi_29",1.00152483409989,2294.03649094569,3834.70909670998
"pi_30",1.00074846671198,2378.79417404245,3566.47313609938
"pi_31",1.00102501997384,3737.36866078195,5010.77117111697
"pi_32",1.00187391369357,2924.50935691796,3835.13013560704
"pi_33",1.00165809428601,5491.53576606407,6692.08166091986
"pi_34",1.00247781377911,2511.75551166484,3425.61966392177
"pi_35",1.001503955263,2720.31279267377,3510.81553089066
"pi_36",1.00067915445943,3969.27264334355,5622.83709696143
"pi_37",1.00172510295452,3606.24266004878,4906.36404364678
"pi_38",1.00029956466737,7056.64165014539,7808.02182540165
"pi_39",1.00216306600823,1769.83724446298,5058.71417630338
"pi_40",1.00337886730276,1465.49205570394,5657.98212918572
"pi_41",1.00182713757582,1700.18255844851,4834.79558774548
"pi_42",1.00111713598427,4831.6587906604,5129.94968142343
"pi_43",1.00070888610508,4532.18164551082,5255.96704362881
"pi_44",1.00038260123141,4304.94869678871,5150.19796182272
"pi_45",0.999995102103441,198513.345880538,197204.812523779
"pi_46",1.00079391731255,2778.98853195525,5040.71628573078
"pi_47",1.00156875941903,1797.95797921212,4644.34141042496
"pi_48",1.00123579461325,1829.29264838877,3813.65957514308
"pi_49",1.00048828735385,4854.7185243235,5301.8361011963
"pi_50",1.00309332765719,3728.71788844288,5107.13720338752
"pi_51",1.00050639306247,5484.02275154162,5597.88705355462
"pi_52",1.00053931033342,6731.88117888318,7190.93702026094
"pi_53",1.00060802636873,4906.97166755275,6224.51543772956
