"variant","spec","lppd","delta"
"orig","baseline_train",-145.078820198703,0
"orig","primary",-138.397884648263,6.68093555044004
"orig","sensitivity",-132.075977896245,13.0028423024575
"orig","primary_drop_t1",-143.232851664345,1.8459685343577
"orig","primary_drop_t2",-138.28198026496,6.79683993374266
"orig","primary_drop_t3",-143.722892143845,1.35592805485763
"own","baseline_train",-148.82194362738,0
"own","primary",-142.029942568878,6.79200105850219
"own","sensitivity",-144.981710160044,3.84023346733596
"own","primary_drop_t1",-147.282538822147,1.53940480523249
"own","primary_drop_t2",-143.388476626331,5.4334670010484
"own","primary_drop_t3",-145.009195096803,3.81274853057712
"clip","baseline_train",-121.101171475272,0
"clip","primary",-111.857817955568,9.24335351970342
"clip","sensitivity",-120.390051453097,0.711120022174882
"clip","primary_drop_t1",-119.866433078868,1.23473839640337
"clip","primary_drop_t2",-111.269597008731,9.83157446654052
"clip","primary_drop_t3",-115.060666400149,6.0405050751227
"drop_worst","baseline_train",-125.44999802425,0
"drop_worst","primary",-124.755072842964,0.694925181285612
"drop_worst","sensitivity",-149.640044963845,-24.1900469395954
"drop_worst","primary_drop_t1",-123.140214845742,2.30978317850715
"drop_worst","primary_drop_t2",-124.716132647783,0.73386537646617
"drop_worst","primary_drop_t3",-127.323573826008,-1.87357580175868
