"cov_id","hierarchy","n_cancers_used","n_groups","n_singleton_groups","eta_squared_baseline_betas","pooled_within_sd","mean_sign_agreement"
"8.2","epi/2a_3bin",26,3,1,0.134278536438656,0.0138957227355559,0.769230769230769
"8.2","epi/2c_10bin",26,9,4,0.14938311576395,0.0160213277255385,0.807692307692308
"8.2","germ/3b_mid",21,7,3,0.21717335620916,0.0160287946673795,0.857142857142857
"8.2","tissue/1b_11bin",28,10,2,0.377365048619569,0.0133263478860516,0.785714285714286
"10.1","epi/2a_3bin",25,3,1,0.121807327801055,0.0206123481927662,0.48
"10.1","epi/2c_10bin",25,9,4,0.758732185409085,0.0126687454465288,0.8
"10.1","germ/3b_mid",21,7,3,0.135321500913701,0.0251156776388046,0.571428571428571
"10.1","tissue/1b_11bin",27,10,2,0.164533779391165,0.023012601899585,0.777777777777778
"1.1","epi/2a_3bin",27,3,1,0.168543250528245,0.0580967918424811,0.851851851851852
"1.1","epi/2c_10bin",27,10,5,0.55517452989242,0.0504903408722207,0.851851851851852
"1.1","germ/3b_mid",22,8,4,0.757966933040404,0.0363440774967126,0.909090909090909
"1.1","tissue/1b_11bin",29,11,3,0.515645735730636,0.0512687293325592,0.827586206896552
"20.1","epi/2a_3bin",18,3,2,0.883259129068611,0.0421887847195624,0.777777777777778
"20.1","epi/2c_10bin",18,8,3,0.49718250735133,0.10723495390468,0.833333333333333
"20.1","germ/3b_mid",16,5,2,0.946964834021826,0.0324690523986772,0.8125
"20.1","tissue/1b_11bin",20,8,1,0.486340873846231,0.0991249442069716,0.8
