"spec","cov_id","rule","pair_key","rhat_max","rhat_above_101","rhat_above_105","bulk_ess_min","bulk_ess_below_400","tail_ess_min","converged"
"spec_01_cov8_2_rule1_pairA",8.2,1,"A",1.01616268290146,2,0,508.125543134655,0,486.036396626193,TRUE
"spec_02_cov8_2_rule1_pairB",8.2,1,"B",1.00511642738387,0,0,636.574594596789,0,1005.82129287632,TRUE
"spec_03_cov8_2_rule2_pairA",8.2,2,"A",1.00926832344744,0,0,434.045799227919,0,638.685932660512,TRUE
"spec_04_cov8_2_rule2_pairB",8.2,2,"B",1.0098561036156,0,0,444.22550598388,0,612.434622580504,TRUE
"spec_05_cov8_2_rule3_pairA",8.2,3,"A",1.00664114000181,0,0,540.216698353496,0,990.43518893282,TRUE
"spec_06_cov8_2_rule3_pairB",8.2,3,"B",1.00507270705757,0,0,651.978868172897,0,1031.00316950441,TRUE
"spec_07_cov10_1_rule1_pairA",10.1,1,"A",1.01230221429526,1,0,554.453088781369,0,757.259695723928,TRUE
"spec_08_cov10_1_rule1_pairB",10.1,1,"B",1.00981943427538,0,0,637.360311858073,0,739.964273451173,TRUE
"spec_09_cov10_1_rule2_pairA",10.1,2,"A",1.00485275317295,0,0,707.382558266419,0,891.789338172837,TRUE
"spec_10_cov10_1_rule2_pairB",10.1,2,"B",1.01513203437476,1,0,478.959278803119,0,439.819514517066,TRUE
"spec_11_cov10_1_rule3_pairA",10.1,3,"A",1.00859297006234,0,0,570.024760279991,0,655.204447704341,TRUE
"spec_12_cov10_1_rule3_pairB",10.1,3,"B",1.00776242555746,0,0,463.542470002114,0,733.504044754102,TRUE
"spec_13_cov1_1_rule1_pairA",1.1,1,"A",1.00557738944457,0,0,546.02051230275,0,861.212390151931,TRUE
"spec_14_cov1_1_rule1_pairB",1.1,1,"B",1.00649591469555,0,0,387.27004710942,1,752.843616282629,TRUE
"spec_15_cov1_1_rule2_pairA",1.1,2,"A",1.00880047351396,0,0,545.60702517335,0,837.999769035709,TRUE
"spec_16_cov1_1_rule2_pairB",1.1,2,"B",1.00919579041821,0,0,537.078975103923,0,778.315939932676,TRUE
"spec_17_cov1_1_rule3_pairA",1.1,3,"A",1.01367986760114,1,0,377.451739108387,1,661.538097097607,TRUE
"spec_18_cov1_1_rule3_pairB",1.1,3,"B",1.00484807701705,0,0,596.897087382636,0,1149.04353169929,TRUE
