cancer,beta_mean,epi_2a,tissue_1b,hybrid_C,group_mean,residual
ACC,0.0233088217637515,Epithelial,Endocrine,ACC,0.0020063368842776477,0.02130248487947385
BLCA,-0.0016773499655946,Epithelial,Male repro+bladder,Luminal,0.0020063368842776477,-0.0036836868498722475
BRCA,-0.0080949232044976,Epithelial,Breast,Breast,0.0020063368842776477,-0.010101260088775248
CESC,-0.0015709979765317,Epithelial,Gynecological,Squamous_HPV+,0.0020063368842776477,-0.003577334860809348
CHOL,0.0158914466569493,Epithelial,Hepatobiliary+pancreas,CHOL,0.0020063368842776477,0.013885109772671652
CORE,0.0004619210327254,Epithelial,GI tract,CMS2,0.0020063368842776477,-0.0015444158515522477
DLBC,-0.127636142882365,Hematological,Soft+heme+H&N,GCB,-0.127636142882365,0.0
ESCA,0.0027322793527014,Epithelial,GI tract,ESCC1,0.0020063368842776477,0.0007259424684237523
HNSC,-0.0001001479907227,Epithelial,Soft+heme+H&N,Classical,0.0020063368842776477,-0.002106484875000348
KICH,-0.00671378127933,Epithelial,Kidney,Chromophobe,0.0020063368842776477,-0.008720118163607647
KIRC,0.0020311306042539,Epithelial,Kidney,ccA,0.0020063368842776477,2.479371997625218e-05
KIRP,-0.0023257177790465,Epithelial,Kidney,Type1,0.0020063368842776477,-0.0043320546633241475
LIHC,0.0009875030865034,Epithelial,Hepatobiliary+pancreas,LIHC,0.0020063368842776477,-0.0010188337977742477
LUAD,0.0012791836877616,Epithelial,Lung+pleura,TRU,0.0020063368842776477,-0.0007271531965160477
LUSC,-0.0029993904810676,Epithelial,Lung+pleura,Classical,0.0020063368842776477,-0.005005727365345248
OV,-0.0046287253084768,Epithelial,Gynecological,Mesenchymal,0.0020063368842776477,-0.0066350621927544476
PAAD,0.0021255477714926,Epithelial,Hepatobiliary+pancreas,Classical,0.0020063368842776477,0.00011921088721495235
PCPG,0.0013081821726299,Non-epithelial,Endocrine,Pseudohypoxia,0.003653799349204175,-0.0023456171765742747
PRAD,0.0058659360335907,Epithelial,Male repro+bladder,ERG_fusion+,0.0020063368842776477,0.0038595991493130524
SARC,0.0066987884240335,Non-epithelial,Soft+heme+H&N,LMS,0.003653799349204175,0.003044989074829325
SKCM,0.0068920476523327,Non-epithelial,Skin,Skin,0.003653799349204175,0.0032382483031285253
STAD,0.0007136977697263,Epithelial,GI tract,CIN,0.0020063368842776477,-0.0012926391145513477
TGCT,-0.0002838208521794,Non-epithelial,Male repro+bladder,Seminoma,0.003653799349204175,-0.003937620201383575
THCA,0.0031069799856035,Epithelial,Endocrine,BRAF_papillary,0.0020063368842776477,0.0011006431013258523
THYM,0.0128362901239994,Epithelial,Endocrine,B2,0.0020063368842776477,0.010829953239721753
UCEC,-0.0010966293139609,Epithelial,Gynecological,Endometrioid,0.0020063368842776477,-0.0031029661982385475
