"spec","cov_id","rule","pair_key","converged","rhat_max","bulk_ess_min","total_lppd","delta_paper1_primary","ci_lo_paper1","ci_hi_paper1","bonf_p_paper1","bonf_pass","delta_baseline_train","ci_lo_baseline","ci_hi_baseline","verdict"
"spec_13_cov1_1_rule1_pairA",1.1,1,"A",TRUE,1.00557738944457,546.02051230275,-1039.99793001688,-7.56758310805776,-13.5494555639967,-1.8538541165497,0.015984015984016,FALSE,-1.31115537466872,-4.13260321844356,1.54142162472616,"UNDERPERFORMS"
"spec_14_cov1_1_rule1_pairB",1.1,1,"B",TRUE,1.00649591469555,387.27004710942,-1036.62559325512,-4.19524634628965,-9.14403717870235,1.21424479235168,0.135864135864136,FALSE,2.0611813870994,-1.63989780897262,5.63338139267714,"INCONCLUSIVE"
"spec_15_cov1_1_rule2_pairA",1.1,2,"A",TRUE,1.00880047351396,545.60702517335,-1041.42080004725,-8.99045313842566,-15.2463189591913,-3.00120772660525,0.003996003996004,FALSE,-2.73402540503662,-5.52706783686599,0.0859968002068047,"UNDERPERFORMS"
"spec_16_cov1_1_rule2_pairB",1.1,2,"B",TRUE,1.00919579041821,537.078975103923,-1039.87815442528,-7.44780751645544,-14.3266085861872,-1.00174699254674,0.025974025974026,FALSE,-1.1913797830664,-4.01942117664121,1.77059258707436,"UNDERPERFORMS"
"spec_17_cov1_1_rule3_pairA",1.1,3,"A",TRUE,1.01367986760114,377.451739108387,-1039.38915156138,-6.958804652553,-12.5221430062301,-1.08211257413035,0.017982017982018,FALSE,-0.702376919163953,-4.54162598863813,3.03629325862138,"UNDERPERFORMS"
"spec_18_cov1_1_rule3_pairB",1.1,3,"B",TRUE,1.00484807701705,596.897087382636,-1036.0062796102,-3.57593270137204,-8.47655064651437,1.56583150020852,0.191808191808192,FALSE,2.68049503201701,-0.44280797238533,5.65781609330849,"INCONCLUSIVE"
"spec_01_cov8_2_rule1_pairA",8.2,1,"A",TRUE,1.01616268290146,508.125543134655,-1037.87213293014,-5.44178602131797,-10.945748758455,0.310164132702651,0.0659340659340659,FALSE,0.814641712071079,-1.23503555365074,3.00455820887028,"INCONCLUSIVE"
"spec_02_cov8_2_rule1_pairB",8.2,1,"B",TRUE,1.00511642738387,636.574594596789,-1039.19713516176,-6.76678825293652,-12.3925270477021,-1.08557535087821,0.025974025974026,FALSE,-0.510360519547476,-2.86857788772779,2.04809007616539,"UNDERPERFORMS"
"spec_03_cov8_2_rule2_pairA",8.2,2,"A",TRUE,1.00926832344744,434.045799227919,-1039.58519360136,-7.15484669253101,-13.2194587866075,-1.30897127003426,0.015984015984016,FALSE,-0.898418959141964,-3.1568800443218,1.41514161383408,"UNDERPERFORMS"
"spec_04_cov8_2_rule2_pairB",8.2,2,"B",TRUE,1.0098561036156,444.22550598388,-1039.31311491848,-6.88276800965264,-12.8743576560172,-1.10356552014284,0.01998001998002,FALSE,-0.626340276263591,-2.50778544911896,1.14195873718451,"UNDERPERFORMS"
"spec_05_cov8_2_rule3_pairA",8.2,3,"A",TRUE,1.00664114000181,540.216698353496,-1038.56500973462,-6.13466282579816,-11.9295389505348,-0.294302417098232,0.03996003996004,FALSE,0.121764907590887,-2.68906187360053,3.04267729893085,"UNDERPERFORMS"
"spec_06_cov8_2_rule3_pairB",8.2,3,"B",TRUE,1.00507270705757,651.978868172897,-1040.28058628458,-7.85023937575602,-13.8865913177015,-1.88463101118625,0.011988011988012,FALSE,-1.59381164236697,-4.9902278020127,1.85267656757536,"UNDERPERFORMS"
"spec_07_cov10_1_rule1_pairA",10.1,1,"A",TRUE,1.01230221429526,554.453088781369,-1038.99091976568,-6.56057285684892,-12.7307471388752,-0.201496930134243,0.045954045954046,FALSE,-0.304145123459875,-2.29928045043581,1.70854315494505,"UNDERPERFORMS"
"spec_08_cov10_1_rule1_pairB",10.1,1,"B",TRUE,1.00981943427538,637.360311858073,-1037.87774291885,-5.44739601002607,-11.2288809845895,0.341886378161583,0.0619380619380619,FALSE,0.809031723362978,-1.4856099141826,3.03491741002147,"INCONCLUSIVE"
"spec_09_cov10_1_rule2_pairA",10.1,2,"A",TRUE,1.00485275317295,707.382558266419,-1039.25418734251,-6.82384043367892,-13.3168212282003,-0.205422506874255,0.03996003996004,FALSE,-0.567412700289879,-2.55926836647942,1.4129185343647,"UNDERPERFORMS"
"spec_10_cov10_1_rule2_pairB",10.1,2,"B",TRUE,1.01513203437476,478.959278803119,-1039.91022850711,-7.47988159827969,-13.8950740387529,-1.26700071525329,0.015984015984016,FALSE,-1.22345386489064,-3.11632842639155,0.685907709088474,"UNDERPERFORMS"
"spec_11_cov10_1_rule3_pairA",10.1,3,"A",TRUE,1.00859297006234,570.024760279991,-1038.44112189674,-6.01077498791142,-11.9444360059156,0.173493329660174,0.0559440559440559,FALSE,0.245652745477628,-1.75917874282434,2.24567344320823,"INCONCLUSIVE"
"spec_12_cov10_1_rule3_pairB",10.1,3,"B",TRUE,1.00776242555746,463.542470002114,-1037.8052714557,-5.37492454686867,-10.9164953585245,0.616412572907435,0.0819180819180819,FALSE,0.881503186520376,-2.0207215385423,3.67197786713336,"INCONCLUSIVE"
