"cancer","spec_01_cov8_2_rule1_pairA","spec_02_cov8_2_rule1_pairB","spec_03_cov8_2_rule2_pairA","spec_04_cov8_2_rule2_pairB","spec_05_cov8_2_rule3_pairA","spec_06_cov8_2_rule3_pairB","spec_07_cov10_1_rule1_pairA","spec_08_cov10_1_rule1_pairB","spec_09_cov10_1_rule2_pairA","spec_10_cov10_1_rule2_pairB","spec_11_cov10_1_rule3_pairA","spec_12_cov10_1_rule3_pairB","spec_13_cov1_1_rule1_pairA","spec_14_cov1_1_rule1_pairB","spec_15_cov1_1_rule2_pairA","spec_16_cov1_1_rule2_pairB","spec_17_cov1_1_rule3_pairA","spec_18_cov1_1_rule3_pairB"
"ACC",-0.135095718730512,-0.141355508523278,-0.117270529372164,-0.303235598624149,-0.15490093037686,-0.264395054025911,-0.173421581908592,-0.155868382845766,-0.163658107407684,-0.112421424904593,-0.164507749747174,-0.084663719709873,-0.223566306196314,-0.00365177534853167,-0.326251469830558,0.00755806702071649,-0.346744382085062,0.0919901483369996
"BLCA",-0.234699300830449,-0.442011861391279,-0.235972148421389,-0.295352228650252,-0.0837483118878879,-0.652480205704542,-0.124243381284892,-0.0172403428555228,-0.317993160697419,-0.299937777811529,-0.0664497693605384,-0.0260625826837781,-0.293864815782207,0.187045440149042,-0.295781805895309,-0.116003284001238,0.110245376659918,0.134049274131947
"BRCA",-0.203035598471196,-0.0153266121363274,-0.132863732790376,-0.239619845173387,0.0134197516932701,-0.133140406000926,-0.18288945700084,-0.0891785977208457,-0.1436270147709,-0.254938494723469,-0.182830955253543,-0.252817826396857,-0.303949933040421,-0.0325302516280033,-0.294192549569779,-0.377551222446172,-0.213400959543364,-0.0809998769482689
"CESC",-0.200707603706746,-0.240623966868714,-0.245227918183051,-0.161153252054614,-0.240579137558449,-0.292734728658104,-0.200488422855827,-0.0320754715438589,-0.20336057874939,-0.167508527119129,0.00122289560554023,-0.00290472241231754,-0.146157519879743,-0.142218077206252,-0.139904249205575,-0.185574501725135,-0.1688284887415,-0.0812246352181738
"CHOL",0.177522928919878,-0.0914716501531867,0.0985925551394917,-0.0600475106625105,-0.0234690063748406,-0.209882394611554,0.161460149670116,-0.0142440084961919,0.107544823582534,-0.206667105519641,0.0181304311878598,-0.447498946656438,0.0288245993102105,0.299581752728121,0.00368379896548454,-0.513837350822758,0.0831620887358469,0.0780045364629913
"CORE",-1.03019086069406,-1.08318622207035,-0.983899677266372,-1.10016060011162,-0.920199830681916,-1.29790811843063,-1.0604374312566,-0.937465667912441,-1.00126767570384,-1.09748015335692,-1.0841233646365,-0.946795579231662,-0.979248952505245,-0.949059366670866,-0.877582927897741,-1.15553804304608,-0.901356728198081,-0.859289971962703
"DLBC",0.164226792477101,-0.289685035971994,-0.0287345253698117,-0.0149013506147,0.150706173167949,-0.483085963736285,0.059288364494114,-0.00186033936896557,0.0491501378669463,0.0899803345571693,-0.0808795038239136,0.0102234048451111,-0.232643764855861,-0.224396997425811,0.176337680421748,0.0553460976203937,-0.164933476561487,-0.25253697987055
"ESCA",-0.0501380072894442,-0.0921222872998158,-0.022951259763655,-0.12568305794181,-0.0310041364699956,-0.0123401551462834,0.278977906351219,0.269484515267376,0.208185657349659,-0.194412520226788,0.217415449789982,0.203559021364775,-0.299614052696068,-0.326275342732487,-0.673918609757376,-0.0879519498990362,-0.619266398883273,-0.250595052854266
"HNSC",-0.593211554952305,-0.597016631634318,-0.550588587040494,-0.586474786295838,-0.812302446895629,-0.673288515960792,-0.586754576910423,-1.09295800668512,-0.530687790729729,-0.540356294567971,0.0491188113911107,-0.408895446246106,-0.733979939411569,-0.133957401123908,-0.61347449701357,-0.781074618022359,-0.0559209158167846,0.00602748128453356
"KICH",-0.0476590671611383,-0.0708023642897277,-0.00621077958486271,-0.0452018762183357,-0.0362628402989644,-0.111199159117191,-0.102095340828996,-0.0449068337755278,-0.0731536489271081,-0.0247843635854688,-0.0846824822514733,0.00605337187314614,0.159719508667296,0.074718026453052,0.182457235858578,0.130194179441625,-0.0187664594122454,0.006083935954317
"KIRC",-0.158716394945785,-0.0527315637510668,-0.25338869062432,-0.197240223440332,-0.117881770332616,-0.0708082084889554,-0.38726448333118,-0.29735356393455,-0.340860526271953,-0.368533917505786,-0.314313359038678,-0.322412628610337,-0.275711156334722,-0.169233818083868,-0.267593471391848,-0.447538141207858,-0.340458617829157,-0.136404427992005
"KIRP",1.23111696797361,1.16305463624356,1.15258433766234,1.09617489854289,1.14738333959785,1.21519578855355,1.38507286003956,1.09487783603337,1.40175306902395,1.10807247259552,1.28041458915597,1.0820422949964,1.05775141868396,0.889288832337552,0.866253920697623,0.938102100307113,0.839965609814104,0.949993389811116
"LGG",0.148349748563646,0.0991964928943432,0.0795192639301945,0.128692563075262,0.128548035370926,0.123425865153315,0.0914274681974092,0.075818258724702,0.172924863721498,0.0690665956579295,0.040368434424515,0.159671001792333,0.296680654466265,0.0873973676977471,0.0405036143684114,0.145077314911099,0.438202794933424,0.0370640783409968
"LIHC",-1.32568561484823,-1.23080972143248,-1.22789154172848,-1.61047685915322,-1.0982436628482,-1.37443288171435,-2.13300263599229,-1.04829540569711,-2.04968596971635,-1.93249120743615,-2.17532107349834,-0.645518391338697,-2.33253493226105,-1.03779545468725,-1.94931245191583,-2.03524102449637,-1.85809308079174,-0.813613099174617
"LUAD",0.282354183563569,0.322164149247868,0.281867983146128,0.307706427987064,0.223518175479683,0.351181066065202,0.431133848485374,0.296220892188856,0.358720063356401,0.280419867666239,0.379907528115524,0.332089048705292,0.33370540000201,0.501793530864695,0.512370437836054,0.123878152366771,0.479113238261355,0.509675295826924
"LUSC",-1.83612712722081,-2.4051501809268,-2.67909875142358,-1.43741005613803,-2.52646150438261,-1.92726514517176,-1.44340781792647,-1.4606685843859,-1.45646066438067,-1.61627121324561,-1.20407759552938,-1.3620035565246,-1.70863015307249,-1.61793347170699,-1.55696812408793,-1.21317011617209,-1.66990884324302,-1.23289154408035
"MESO",-0.0736806873743561,-0.0543330873694288,-0.0317800452284658,-0.0490678278713119,-0.0661878421041138,-0.0507936924276606,-0.0341603335227951,0.0214336876723635,-0.0221098870302612,-0.0577503299107143,-0.0463678950136703,-0.0839199427259771,-0.0329735091618772,-0.0170331909684798,-0.0178370237318362,-0.0590634062998632,-0.0154488743219368,-0.0210578530076795
"OV",-0.682360828876099,-0.570958163282569,-0.572641005037141,-0.497413010456796,-0.558224625175768,-0.494491817452214,-0.707291650234794,-0.451613418146195,-0.623012673876289,-0.361513766157131,-0.667432057710457,-0.499017897296056,-0.633319375571034,-0.618754428885723,-0.734829061315622,-0.635617238267358,-0.660946113127991,-0.672421971436805
"PAAD",-0.241028234028764,-0.238910856784994,-0.175638278376066,-0.347775153859583,-0.159925159796579,-0.162079783552567,-0.65774903958286,-0.496456205578024,-0.67590404105098,-0.263099700895861,-0.533498221986161,-0.53667155084139,-0.298686553955655,-0.431227081160898,-0.449950894431009,-0.251836686017946,-0.414732502374889,-0.319694896687736
"PCPG",-0.0156508098995075,-0.014885246101673,-0.0165717103972615,-0.0466278457758268,-0.0265532620369863,-0.0862829237726992,0.000353746645291642,-0.00332956769824477,0.00762884602529768,-0.0550940034918396,-0.00578571639677206,-0.0271206850501831,-0.0521996329171335,0.0219794120468416,-0.0584474822119678,0.00133663510859083,-0.0467592716074163,0.0345537575481615
"PRAD",0.246429711837387,0.314997193037963,0.24783600211572,0.286559124165701,0.268392441063582,0.18037139966089,0.291024232689336,0.187764904091822,0.291739512959286,0.355364150885017,0.0175827725279829,0.111206215181068,0.277954086975664,0.232211516895101,0.244664465878378,0.234389424490504,0.230912793092832,0.216939516877567
"SARC",-0.597739593860382,-0.72427511337883,-1.14228150147703,-1.04022408805144,-0.442095642892994,-0.533392708681362,-0.790382633863075,-0.840687560288323,-1.36333736890928,-1.14731923184684,-1.10461141469672,-0.912240846851795,-1.12839149046079,-0.949626914242891,-1.58358603535397,-1.53914284325159,-1.14445121384542,-1.05664240206023
"SKCM",0.0956529170280973,-0.00837296967441148,-0.071540945656821,-0.00200579903068387,-0.0192760611012162,-0.0622367515296034,-0.143208933756142,-0.0800317059469862,-0.0650488948607091,0.0534376734955018,-0.0670105322141197,-0.127344222375022,0.0869453911761937,0.105607942137048,-0.175078710535125,-0.115511520597963,-0.0489273291932264,0.118522001970533
"STAD",1.02674035248791,0.854712504219243,0.78718429597464,0.698760349633147,0.708561517886253,0.766042785229338,0.764014618377303,0.56378637234014,0.676652399082165,0.524051911212382,0.782195960136612,0.621636588609306,0.335732369403239,0.293338992220669,-0.00613864210792059,0.673174128655219,0.0721996938226823,0.493357221586685
"TGCT",0.326784866351528,0.353169505692274,0.391315565921389,0.380974912793541,0.386456132847355,0.390654445575155,0.363496754075894,0.39348571426781,0.427328148749062,0.352146271521574,0.41150553450864,0.362232477766788,0.282742195682086,0.222996750397659,0.365855843033345,0.361708098767515,0.00216533747630954,0.0296387694928524
"THCA",-0.059146989933053,-0.0753128262289513,-0.130520622493239,-0.181847843587599,-0.0889163025235948,-0.175008262937439,-0.044657140556291,-0.040012069308383,-0.0342323021767559,-0.0552119288359192,0.0323492754873973,-0.0538915134334443,-0.1592375901321,-0.0660247476888109,-0.0199006657537648,0.0652826224695522,-0.0501695025423352,0.0490703569433473
"THYM",0.0564663760601443,0.170514666490408,0.133728303870291,0.165674121224128,0.054586037896331,0.146551820410164,0.0355581317993092,0.191961023688928,0.0790295252826478,-0.100756805868526,0.133316769418912,-0.102845484879742,0.155757547252526,0.0702673948261197,0.16186864616363,-0.0274012272739537,0.0910240408676817,-0.00563623542217506
"UCEC",-1.73904308870448,-1.63422428728505,-1.72676845773077,-1.6522064208263,-1.85109106567811,-1.95539560521627,-1.73012954831691,-1.4718057457471,-1.71265518461018,-1.44367449773952,-1.64244557097094,-1.42572607698412,-0.846024912287163,-0.419576040160678,-1.62192943750214,-0.800182883090109,-0.626925391970396,-0.525793942522448
"UCS",0.0264862149466492,0.0289687557932297,0.0243657076741304,0.0468148274641127,0.041089108616033,-0.00102006406639887,0.0792034714551626,0.0338222636337928,0.172558009191098,-0.012197611121616,0.050033822467034,0.00471364824556098,0.0973383108442842,-0.04217894532181,0.11822932785995,0.15838171902349,0.060242923872325,-0.0220995767030185
