"variable","rhat","ess_bulk","ess_tail"
"beta_tilde_0",1.00009904031093,74781.43950944,127597.481307245
"beta_tilde_0.5",1.00017396271093,39649.1054179561,60960.1894005091
"beta_tilde_1.1",1.00300285165026,11569.9025255701,4128.77217322532
"beta_tilde_2.1",1.00313108736379,2796.87015284015,9487.12920079897
"beta_tilde_3.1",1.00036249290826,69854.736624187,76853.5966419355
"beta_tilde_3.2",1.00011669091511,37542.9235603536,65829.762381281
"beta_tilde_4.1",1.00074950584694,3117.61672872633,10890.6071148833
"beta_tilde_5.1",1.00034878574021,26067.2261198252,23599.4470931484
"beta_tilde_6.1",1.00022420423403,138637.60416561,69883.5602041891
"beta_tilde_7.1",1.00006203546317,180784.502742875,136898.623021042
"beta_tilde_7.2",1.00018088305828,47948.4257745785,20465.0424060506
"beta_tilde_7.3",0.999992110402644,195011.097281864,184194.377252544
"beta_tilde_8.1",1.00038796098263,11861.2534767628,30972.9711703419
"beta_tilde_8.2",1.00020389570268,44256.0146815338,88422.1138547816
"beta_tilde_8.3",1.00071322985371,14399.531495107,54415.9311811541
"beta_tilde_9.1",1.00003356793517,178354.725174266,158564.930625418
"beta_tilde_9.2",1.00002610371704,58016.8046908037,67865.0054430422
"beta_tilde_10.1",1.00011159565493,20172.0783304284,96476.3195477318
"beta_tilde_11.1",1.00136790356316,6597.01870204403,5178.346946396
"beta_tilde_12.1",1.00009256840069,107698.363240974,92863.5974532927
"beta_tilde_12.2",1.00001295887789,198259.106266479,187474.030126215
"beta_tilde_12.3",1.00020916157726,79536.0386997338,16269.0797530263
"beta_tilde_13.1",1.00034824297643,122598.986605412,79738.6256300663
"beta_tilde_14.1",1.00039589141088,19679.1359074385,14042.133249996
"beta_tilde_15.1",1.00300526469679,14846.2255144964,7981.63154255672
"beta_tilde_16.1",1.00004516243869,143984.292234169,142361.905408873
"beta_tilde_17.1",1.00022724003406,25732.1819571882,66917.2724344364
"beta_tilde_18.1",1.0002439569839,18175.3245378903,48084.8855000704
"beta_tilde_18.2",1.00012409435589,113251.735192076,134076.67195132
"beta_tilde_19.1",1.00018302220955,50317.3882764015,111136.151501204
"beta_tilde_19.2",1.00007264654524,163326.727978557,156870.081949707
"beta_tilde_20.1",1.00134361453368,2607.58820865712,6327.3646753596
"beta_tilde_21.1",1.00027486910102,69373.1516190405,98921.4071733364
"beta_tilde_21.2",1.00011490420893,54286.0001262109,77583.5828077755
"beta_tilde_21.3",1.00010269833908,35345.1165328436,43480.3486253778
"beta_tilde_22.1",1.00362349550413,2832.95913325887,1210.721022826
"beta_tilde_23.1",1.0005120506372,52833.5822745117,19702.3322889945
"beta_tilde_24.1",1.00579336719237,1459.8771182265,755.176192075481
"beta_tilde_25.1",1.00006013733601,178898.26865893,154175.069952586
"beta_tilde_26.1",1.00053441956376,75850.4280589097,21076.4358452386
"beta_tilde_27.1",1.00006943603721,107388.150368885,88281.1219863889
"beta_tilde_28.1",1.00029978780023,103932.168027959,54557.3051670143
"beta_tilde_29.1",1.0000714320542,192568.669134647,149247.955172453
"beta_tilde_30.1",1.00015499888782,155437.625511545,74982.3891764564
"beta_tilde_31.1",1.00088524686941,50013.5669729471,20444.6821867121
"beta_tilde_32.1",1.0000450274758,195595.936780222,169144.902798953
"beta_tilde_33.1",1.00002404259541,191605.017246242,160930.680241482
"beta_tilde_34.1",1.00147177302848,32404.5521916307,14264.6234821626
"beta_tilde_35.1",1.00055958582758,7338.33098978476,17091.8081666305
"beta_tilde_36.1",1.00203646059713,3371.54858083306,10336.7655589025
"beta_tilde_37.1",1.00051781577442,8867.7319763445,6042.16885274345
"beta_tilde_38.1",1.00000138507057,200957.329431986,187746.325837105
"beta_tilde_38.2",1.00006540407658,185232.658853153,157513.43927977
"beta_tilde_38.3",1.00002371476713,197861.66579082,188690.345090759
"beta_tilde_39.1",1.00097509091894,16497.9379725772,25211.2960816743
"beta_tilde_40.1",1.00004521171099,194052.860235343,160396.133531285
"beta_tilde_41.1",1.00012382533689,134975.292958826,73818.7118444114
"beta_tilde_42.1",1.00000925833281,188048.846383173,159524.895297892
"beta_tilde_43.1",1.00027082081562,81002.8592569637,60964.6756239875
"beta_tilde_43.2",1.00015648176784,56009.9635832146,62690.1814337754
"beta_tilde_44.1",1.00009797538734,115607.917749511,116051.272283284
"beta_tilde_45.1",1.00005960916387,198999.998623315,178908.862634588
"beta_tilde_45.2",1.00003484783372,189189.505715374,167691.921616557
"beta_tilde_46.1",1.00059689227258,38677.9002981327,28974.9994711126
"beta_tilde_47.1",0.999992666990634,181524.725628514,156373.520446221
"beta_tilde_48.1",1.00001631047454,183872.266730328,134009.778345902
"beta_tilde_49.1",1.00005876239331,157468.682639288,123558.367590676
"beta_tilde_50.1",1.00046487308951,22051.9804915692,35126.3980063007
