"variable","rhat","ess_bulk","ess_tail"
"beta_tilde_0",1.00002870209514,75949.2570755893,130277.643553882
"beta_tilde_0.5",1.00012973437387,37972.7571338915,70687.7227664385
"beta_tilde_1.1",1.00245630119454,12129.0542253658,3099.09338876281
"beta_tilde_2.1",1.00163785380072,2797.52188254877,8863.85597997117
"beta_tilde_3.1",1.00012763750271,70539.3492699382,82118.6043372552
"beta_tilde_3.2",1.00022363742604,38871.3587512008,72389.3604090352
"beta_tilde_4.1",1.00161509192927,3048.34913540602,10648.6012034484
"beta_tilde_5.1",1.00091743842117,25577.6450324354,26537.5879843458
"beta_tilde_6.1",1.00006392858494,141880.125358237,72838.587758283
"beta_tilde_7.1",1.00008129033027,166405.135490526,133600.270543462
"beta_tilde_7.2",1.00005511940714,51876.357852381,23810.1171624808
"beta_tilde_7.3",1.00003831412471,189870.566184416,183983.822707542
"beta_tilde_8.1",1.00029424796806,11376.5033018776,30307.0879060076
"beta_tilde_8.2",1.00030213753697,42205.6498541184,74687.8022630683
"beta_tilde_8.3",1.00029231338516,15479.2738096015,61290.2613067362
"beta_tilde_9.1",1.00001303392435,176698.795967168,166165.329058231
"beta_tilde_9.2",1.00016256674621,51676.3316516245,66778.8071621301
"beta_tilde_10.1",1.00015068493918,20240.0346284829,79966.8898301366
"beta_tilde_11.1",1.0004919056867,6459.96589419255,5031.8059156207
"beta_tilde_12.1",1.00012864153208,105686.704433526,99069.8396577595
"beta_tilde_12.2",1.00001820261504,200077.024167602,185476.590874033
"beta_tilde_12.3",1.00033331354229,64186.592456439,16002.5642456482
"beta_tilde_13.1",1.00034182989131,118919.27446298,76531.5996870091
"beta_tilde_14.1",1.00039548301214,18789.7412292134,13969.1004153858
"beta_tilde_15.1",1.00123223569535,14670.1594156886,8698.69942590362
"beta_tilde_16.1",1.00000673354791,141670.404578435,145333.270937415
"beta_tilde_17.1",1.00018521960857,25395.0867060353,62878.5214607536
"beta_tilde_18.1",1.00017289696108,20391.0734306136,54001.3279401363
"beta_tilde_18.2",1.00004677614433,109315.667772827,137880.580641597
"beta_tilde_19.1",1.00009249430246,49970.3082822787,100377.04192073
"beta_tilde_19.2",1.00003637079563,166909.764440392,160441.148035635
"beta_tilde_20.1",1.00327039767855,2525.52260744164,7135.29583609358
"beta_tilde_21.1",1.00011635616659,80627.8542447497,101294.198817623
"beta_tilde_21.2",1.00015383106879,59142.4671476706,80508.0832889539
"beta_tilde_21.3",1.00009159114376,35242.6298036988,41047.6771704122
"beta_tilde_22.1",1.00211941407205,1855.52118631083,968.938078914725
"beta_tilde_23.1",1.00120681228763,58003.5728094781,21940.4129561514
"beta_tilde_24.1",1.00204762808384,1386.99481368144,655.204447704341
"beta_tilde_25.1",1.00001307911087,184531.695455284,150600.379212861
"beta_tilde_26.1",1.00050822890752,83033.1649992751,21121.5839037901
"beta_tilde_27.1",1.00008142730838,92414.4962451482,75454.6160010515
"beta_tilde_28.1",1.00078437482154,93228.4513582829,39002.6923693446
"beta_tilde_29.1",1.0001601610147,183732.910621304,155631.649529145
"beta_tilde_30.1",1.00018957198314,146416.548543201,67487.4859258834
"beta_tilde_31.1",1.00114195363308,45831.2572404306,21074.0097922793
"beta_tilde_32.1",1.0001129267918,194505.528248438,158223.32928209
"beta_tilde_33.1",1.0000288559311,197151.451970669,163364.852478545
"beta_tilde_34.1",1.00165468235544,31312.4601036967,9564.93860307401
"beta_tilde_35.1",1.00039067037266,7915.22405583615,17517.6011447024
"beta_tilde_36.1",1.00321770630651,2548.35894646221,6444.88731956242
"beta_tilde_37.1",1.00027461463022,8519.06474003021,5566.53155654774
"beta_tilde_38.1",1.00000552113292,196864.104139904,189690.878355471
"beta_tilde_38.2",1.00006460814261,189346.912878791,148113.033121263
"beta_tilde_38.3",1.000014446933,198638.558557913,195702.773809963
"beta_tilde_39.1",1.00050551807842,15436.3747301589,21123.3715304575
"beta_tilde_40.1",1.00001012372294,180924.766468082,155093.34744929
"beta_tilde_41.1",1.00008677730921,152504.092720771,79604.4520321987
"beta_tilde_42.1",1.00002395714017,185425.769555963,162445.634025181
"beta_tilde_43.1",1.00018195606728,90748.8298606545,64662.3693926486
"beta_tilde_43.2",1.00004763252617,63277.6064475753,66433.1967332686
"beta_tilde_44.1",1.00008478216804,105957.541776766,110715.578573172
"beta_tilde_45.1",1.00001819999456,199240.836071087,188997.638065429
"beta_tilde_45.2",1.00001169605439,188849.445803433,165992.135650681
"beta_tilde_46.1",1.0007735984403,44521.256445825,31238.6039665325
"beta_tilde_47.1",1.00004782591492,179119.674510001,153857.912226595
"beta_tilde_48.1",1.00004445983584,186724.410179651,132369.833490085
"beta_tilde_49.1",1.00020493812903,165818.806130566,130426.47396418
"beta_tilde_50.1",1.00025312474456,25835.293994993,38764.8668366527
