"variable","rhat","ess_bulk","ess_tail"
"pi_0",1.00001455734232,199304.695091483,197923.268983129
"pi_0.5",1.00034577061653,11095.9331612046,17390.8471431156
"pi_1.1",1.00429014747522,707.382558266419,2819.52979486701
"pi_2.1",1.00307923061154,1636.17566810607,4513.88846610424
"pi_3.1",1.0001703836186,5866.97761868255,7709.39494511463
"pi_3.2",1.00079938308257,4328.49699480873,5399.06180764797
"pi_4.1",1.00176197717641,1851.07137451564,5270.03420760922
"pi_5.1",1.00263619019783,1763.43885107239,3569.5460082079
"pi_6.1",1.00044031876939,11949.2887976107,38656.9397065775
"pi_7.1",1.00009674039966,20725.7342079139,41045.1879441263
"pi_7.2",1.00006112194147,20968.116728911,18274.1502792528
"pi_7.3",1.00005483212813,52654.8708856042,60953.5216735332
"pi_8.1",1.00147027317727,2763.21709453303,5189.31447819107
"pi_8.2",1.00032439471837,5658.34638241834,7067.45438002717
"pi_8.3",1.00049763418005,3345.12099327453,5918.71132529982
"pi_9.1",1.00014962212884,28840.2337295826,45019.1693734984
"pi_9.2",1.00080623521447,8617.40625531159,31550.249891508
"pi_10.1",1.00000041524759,199925.647410582,199325.937833182
"pi_11.1",1.00224214416056,2192.23609078811,4022.70883352349
"pi_12.1",1.00081879383389,11769.9655423523,42753.0818551547
"pi_12.2",1.00006262828966,62002.5211117837,69955.7467410381
"pi_12.3",1.00048048566304,7314.67057475642,16918.3147995425
"pi_13.1",1.00098626281969,4079.88131694814,6497.69526770649
"pi_14.1",1.00057998882071,7560.29456541025,10696.2172156367
"pi_15.1",1.00218720821261,1277.07776093175,4689.92549245923
"pi_16.1",1.00006387110198,119386.900249185,100343.755149362
"pi_17.1",1.00077336774807,4672.1556741572,9417.88764224982
"pi_18.1",1.00130969791767,7349.36059826243,37931.2212966327
"pi_18.2",1.0001718914296,20866.1823142248,40739.3667824047
"pi_19.1",1.00010016947295,12996.3393596432,38570.0247604718
"pi_19.2",1.00012523115466,28881.4450918431,42788.0248504352
"pi_20.1",1.00434401818595,1142.13241740714,3087.73267843029
"pi_21.1",1.0003840728601,10860.1142267359,22605.074094179
"pi_21.2",1.00010245657013,9204.20765706597,23085.4889160459
"pi_21.3",1.00107205234283,5925.12292422307,27161.8454091217
"pi_22.1",1.00405355812688,891.962038390958,1067.3862951616
"pi_23.1",1.00062578100527,2492.94588857843,5828.06788158474
"pi_24.1",1.00469973013293,842.881921456582,1727.07082136774
"pi_25.1",1.00028713824352,21504.3417488545,22993.2166742152
"pi_26.1",1.00092752676775,2368.02024380437,7989.48590050855
"pi_27.1",1.00059077052253,7424.30580662113,20516.3515808232
"pi_28.1",1.00155437935641,4424.58487393036,11962.0179605809
"pi_29.1",1.00001444341644,26219.2588126979,28531.9789124538
"pi_30.1",1.00033559213545,12105.9609015435,35792.1198034403
"pi_31.1",1.00186602627857,3064.05459365832,8171.90709283021
"pi_32.1",1.00017866490734,23081.6148054215,22687.1626644242
"pi_33.1",1.00010998571154,24254.464192826,26000.1048243245
"pi_34.1",1.00120638938021,2466.79878907366,7908.69308234807
"pi_35.1",1.0024532068106,2823.97817062498,11614.6859862762
"pi_36.1",1.00172535089063,3275.59929974076,6684.73644123349
"pi_37.1",1.00035656408418,2837.69620752136,5226.15998565212
"pi_38.1",1.00003011939124,72488.3034676609,77632.4390700101
"pi_38.2",1.00007340914306,27173.3776471279,44472.0454500642
"pi_38.3",1.00002703488119,91805.032882374,90599.0965439348
"pi_39.1",1.00485275317295,1852.88431063002,4478.71979425128
"pi_40.1",1.00013695503709,26659.4024815643,42592.1404557269
"pi_41.1",1.00033832756264,10043.8403731894,45229.0260100502
"pi_42.1",1.00009378499655,27285.230030834,29520.9472577536
"pi_43.1",1.00082005239508,4715.26132316991,10356.3347609839
"pi_43.2",1.00067661093463,5297.42963469742,10452.9752211111
"pi_44.1",1.000110359811,12431.4488134826,15403.1364303441
"pi_45.1",1.00002144034326,57974.3358653372,65260.4828809696
"pi_45.2",1.00012381303966,25895.5528343787,41411.8546210814
"pi_46.1",1.00111493582556,3691.59625640963,9049.29114141252
"pi_47.1",1.00005509444891,28458.6227547119,42881.8116343237
"pi_48.1",1.00022035855553,11924.9344817865,12252.6803823792
"pi_49.1",1.0005879221999,11427.9897171988,12261.2997161342
"pi_50.1",1.00092016022311,3443.71217705781,7879.80463663177
