"variable","rhat","ess_bulk","ess_tail"
"pi_0",1.00000046059094,200260.821898155,199211.496294481
"pi_0.5",1.00033390199129,11860.5583593207,16248.0348749226
"pi_1.1",1.00001857883528,200197.075147323,199541.615872814
"pi_2.1",1.00430291426264,998.794012330318,4050.34410259449
"pi_3.1",1.00078618323648,5037.4390046906,6795.74654176687
"pi_3.2",1.00030173844645,4498.29251410575,5885.5233978841
"pi_4.1",1.00345329813941,1913.24924856606,6099.45401746033
"pi_5.1",1.0019914222607,883.081583207573,2569.27760090831
"pi_6.1",1.00019596152698,12803.0980244891,33693.6322397656
"pi_7.1",1.00025888581207,18873.0923327909,41096.4028376589
"pi_7.2",1.00014405339569,25139.5432641592,21838.7696159799
"pi_7.3",0.999998854943292,54089.0473690252,62578.2368171551
"pi_8.1",1.00111445965188,2302.36717733133,5056.42140856353
"pi_8.2",1.00073228252984,5105.53915011185,6870.74266138586
"pi_8.3",1.00032839213581,3210.65153855152,5293.02855425542
"pi_9.1",1.0000771979138,32887.5083810787,46646.2197069292
"pi_9.2",1.00068319724619,6440.08861141648,32352.171187355
"pi_10.1",1.00145589105575,1761.93989377223,3718.01646880385
"pi_11.1",1.00452112902466,1224.29391524424,9015.38211875772
"pi_12.1",1.00019385134197,10647.0475934133,39348.4770199508
"pi_12.2",1.00009872359745,59609.0116492736,65186.4382145221
"pi_12.3",1.00040098614608,8610.33102527633,16224.8851099253
"pi_13.1",1.0031693124088,2010.39784001714,6253.84160596098
"pi_14.1",1.00022937054969,8327.86597942182,13713.4308066837
"pi_15.1",1.00150779983641,1928.19225207836,4126.45029729993
"pi_16.1",0.999998106701251,195642.275924515,197948.163309469
"pi_17.1",1.00088649661061,5591.63584659991,11864.6097436848
"pi_18.1",1.00016517112603,7623.15124781815,37827.9030954201
"pi_18.2",1.00028396012401,20330.4849233227,38147.3295609855
"pi_19.1",1.00047475239222,11165.6169933344,35304.2629373246
"pi_19.2",1.00013515331851,30843.3888829825,46674.1136957896
"pi_20.1",1.00177890022022,1149.85140646653,2782.54641792222
"pi_21.1",1.00029246662201,10363.8477377238,23819.0661223313
"pi_21.2",1.00045272194669,7526.37561773758,24057.6519333857
"pi_21.3",1.00048233175569,6268.54028094756,25190.376970648
"pi_22.1",1.00536872940875,759.594800523714,977.187056522131
"pi_23.1",1.00273807365474,1751.16990772293,6274.75542310192
"pi_24.1",1.00919579041821,537.078975103923,872.676147792423
"pi_25.1",1.0001589012494,20056.8525746241,20244.6660278184
"pi_26.1",1.00089864711321,2225.09796254756,9329.18391867367
"pi_27.1",1.00035791163691,8765.00354222022,22883.8250617774
"pi_28.1",1.00160673609613,3539.91414543736,12564.0550039596
"pi_29.1",1.00014531098638,23759.7439618085,29227.5269586397
"pi_30.1",1.00019317035039,12610.1262346095,41514.6617333277
"pi_31.1",1.00120407914043,2876.73679428514,8115.0765431299
"pi_32.1",1.00015090853864,21631.4023158815,23734.6284919903
"pi_33.1",1.00020727197288,26791.9011688605,28500.8293420095
"pi_34.1",1.00064324330578,1904.44465401569,7112.3281389201
"pi_35.1",1.00091258246167,2900.81022569144,6213.15764859388
"pi_36.1",1.0009159302613,2963.54338005928,4921.09441594312
"pi_37.1",1.00139711054545,2329.47780701503,7038.25871419644
"pi_38.1",1.0000646220985,69142.4636541535,72839.8265956194
"pi_38.2",1.00000965048052,26216.8087372654,43331.6622551089
"pi_38.3",1.00000643955061,93132.8364838932,90967.5941293797
"pi_39.1",1.00190956071496,2059.58458190109,6500.58326504623
"pi_40.1",1.00014854090614,18249.4670534114,44157.0262053112
"pi_41.1",1.00044305170236,10869.8958352528,46945.3275816405
"pi_42.1",1.00003729261708,26200.2506006017,26856.3281091206
"pi_43.1",1.00076972288115,5833.24384853884,11881.2092672811
"pi_43.2",1.00086291773255,4962.71466717585,10711.8045143932
"pi_44.1",1.00016672173881,9907.58877622839,13820.4859614208
"pi_45.1",1.00005759863124,50283.5929812166,61110.1155959416
"pi_45.2",1.00004869412388,30044.6366777537,43277.8484259478
"pi_46.1",1.00126426736318,2922.05602265704,9705.27365102739
"pi_47.1",1.0001556622449,32167.8712972759,46388.329208539
"pi_48.1",1.00010245500072,25657.2521416814,25806.2770907494
"pi_49.1",1.00036485050111,10781.3015935666,11513.8487091138
"pi_50.1",1.00121942557239,3216.42958016037,7576.55742036705
