"variable","mean","sd","2.5%","50%","97.5%","rhat","ess_bulk","ess_tail"
"pi_0",0.967776623385755,0.0312054828212482,0.884377879847009,0.977189862686146,0.999174635723085,1.00000431672246,200290.73251644,198544.302702845
"pi_0.5",0.912146409015149,0.0768162316654961,0.715247108033565,0.93311775655512,0.997387453277809,1.0001538869177,16819.1720946227,25018.4918665443
"pi_1.1",0.298317467703543,0.19139662950557,0.0160900932033149,0.272859685786878,0.741073571294081,1.01519809164373,364.454524131784,769.151393569463
"pi_2.1",0.104551264360088,0.0975594860244777,0.00302336290065471,0.0757694410781546,0.36574743322989,1.00507830164535,852.431914934859,3341.49234806113
"pi_3.1",0.0824842410877348,0.0849721357450254,0.0019799538434514,0.0558152940832241,0.313417700159574,1.00059672996185,5849.17235396718,6858.35266150384
"pi_3.2",0.0804897485663021,0.0822999896529457,0.00199944083333383,0.0546990680197348,0.305026961039933,1.00034146240756,5909.60021805691,7780.76406246326
"pi_4.1",0.0925868797011797,0.0870893179937011,0.00255681934773363,0.0670123305365749,0.323921221901602,1.00048048635684,2157.68870539237,6010.22292880797
"pi_5.1",0.139454381297831,0.109681196265183,0.00794812193971334,0.113403252490831,0.41891336429922,1.00179088679783,943.846710807669,2037.62936124576
"pi_6.1",0.410355222160579,0.274049918912846,0.0163050320444228,0.374643174531141,0.947921473653742,1.00010505238704,18845.4698136196,37082.1947152495
"pi_7.1",0.387470664073166,0.265720552899074,0.0148410036808887,0.346808980091836,0.93350583274695,1.00014116469185,32021.3601779748,42516.3994983783
"pi_7.2",0.638319976567752,0.25306083087138,0.100237314571359,0.681156692147412,0.986220859938804,1.00045081891175,14588.1994272739,14107.4625255585
"pi_7.3",0.396246605892724,0.269789907497405,0.0151705105827178,0.356669584491304,0.942533179321971,1.00012894544778,22299.9660453216,35591.2492128834
"pi_8.1",0.0550617290646804,0.0573388097304653,0.00128983175529965,0.0370539381975512,0.210600486549217,1.00094119415766,5930.57679020986,8148.08132029587
"pi_8.2",0.0597659904164726,0.0605949567080724,0.0015133447688108,0.0410473674740235,0.224751669736658,1.00112683188541,5146.84771110369,8111.90800218226
"pi_8.3",0.0586074529645152,0.0587912027017669,0.00145828587096274,0.040577159679428,0.217567258789231,1.00147927864012,3735.53859166541,8067.21911934298
"pi_9.1",0.392132235862716,0.267857448570979,0.0152413553145685,0.352542338186901,0.936467458639515,1.00010825581286,30731.5762839047,45556.8207817257
"pi_9.2",0.463007997400411,0.286162643814847,0.0202855664055941,0.445873234919133,0.967635474352211,1.00048882659086,7796.442709138,32967.9216550095
"pi_10.1",0.0990665832033832,0.0952188002099684,0.00247138456653811,0.0702126469427969,0.353255379952986,1.0014537759289,1197.79105375394,4383.93387953756
"pi_11.1",0.641985544264347,0.254434591126561,0.0896446526310243,0.687522449980474,0.986475632481834,1.00272250453973,1952.08860690766,3391.9419607951
"pi_12.1",0.479870023366464,0.288053375415978,0.0222522456594689,0.470281122878966,0.971714034892175,1.00051082833326,9760.73950030619,45381.920232487
"pi_12.2",0.369925513987052,0.257701191960862,0.0141288826670063,0.32822655592595,0.913413623812312,1.00015140257632,63379.2825217223,68727.5725399044
"pi_12.3",0.608767305788873,0.267177677450471,0.064497840860394,0.648283601753,0.984664156079769,1.00065561224714,7901.21716870779,12865.7085923972
"pi_13.1",0.18743113718034,0.178696886118651,0.0047583137118344,0.131938157821811,0.677327501161855,1.00097949189759,4105.53232068381,5580.57146960327
"pi_14.1",0.527009161131489,0.266228655275666,0.049042361995918,0.532331238385304,0.971290776586889,1.00051749693401,4550.40707516745,7385.11887919658
"pi_15.1",0.202288025504994,0.183334891684636,0.00514560448938618,0.147938932426683,0.681614981526395,1.00234675439779,1260.66138501489,3638.67322076131
"pi_16.1",0.666244804352014,0.236100681871764,0.156839275381478,0.706466356141801,0.98741039650779,0.999995267212591,192865.093699908,194459.429076226
"pi_17.1",0.251936887870842,0.206689936520267,0.00772533877794714,0.19937522279159,0.769203550043559,1.00066990314346,5466.54693764315,11889.0986596689
"pi_18.1",0.458326294949525,0.285737574591108,0.0201515492639794,0.437982376106199,0.967318465640471,1.00033607763929,9363.44830153831,34759.9351932553
"pi_18.2",0.393407869937329,0.268439909966114,0.0151055669524375,0.353730805466416,0.93730173031139,1.00017477500476,28539.5577283785,44323.4566882385
"pi_19.1",0.461763962849914,0.286250677054229,0.0200124346724986,0.442473380364597,0.967355710123257,1.00036678168924,8037.02615335966,32901.5224123525
"pi_19.2",0.391163470929134,0.267808577895644,0.0152385098314556,0.351158458777387,0.937197829503511,1.00002242391967,31055.4416684831,46100.6065702688
"pi_20.1",0.276754880475583,0.202831716230166,0.0138939671015148,0.235075512053852,0.768363314807283,1.00766857079701,444.707069098374,1460.56912565731
"pi_21.1",0.365481485117241,0.263824601768844,0.0133320091565149,0.315302863993278,0.931372302930202,1.00031484716508,10553.5654854786,24060.8508848007
"pi_21.2",0.380374029601112,0.269832502476192,0.0137310006072253,0.333430113794764,0.939283089452432,1.00026938618305,9270.41626294981,24220.2281045129
"pi_21.3",0.440555892270199,0.283261113684409,0.0180677477036847,0.413640240590109,0.963400631407335,1.00111963068201,5839.3625480877,25647.0989156338
"pi_22.1",0.412111544689709,0.232526888309193,0.0374840138578505,0.38879991326033,0.898990494416803,1.00998987540005,566.771148563446,778.454063849159
"pi_23.1",0.281715415888165,0.239726385725891,0.00755559839741894,0.212053662762859,0.866215884754214,1.00375945206576,1474.3704284858,5559.08787699931
"pi_24.1",0.180172458491412,0.145471711915197,0.00920193779923483,0.144176382286293,0.558555113545375,1.00867085989614,516.532157583859,1240.15494713581
"pi_25.1",0.211267579249081,0.181442382806887,0.00628473891710211,0.162566908486705,0.678208645250564,1.0001672896681,27218.8984109579,27281.9223135266
"pi_26.1",0.252670580546533,0.215527040006317,0.00726294820588844,0.193438204980746,0.805207577723096,1.00086096196193,3430.90302243011,7864.51933211251
"pi_27.1",0.419718938661903,0.281799108887731,0.016590717233775,0.381508030892753,0.958315952279271,1.0007126109949,2845.00220459772,13316.5762388195
"pi_28.1",0.231578818920846,0.199903415417432,0.00675658160989829,0.176373749750119,0.752548762412895,1.00061515748452,11045.4731971309,11378.5958260362
"pi_29.1",0.286192469689397,0.221447721709021,0.00961416978602766,0.235798585404249,0.811644762844923,1.00005588868605,53443.1407439924,49901.4965495612
"pi_30.1",0.460542352144014,0.286257563642551,0.0200603108275213,0.440854034364897,0.967832827484744,1.00126047739012,7289.88032010251,34683.995680857
"pi_31.1",0.224678178982733,0.185371071357188,0.00705082515098643,0.177374012534616,0.690034428942303,1.00232517312422,2483.74923385531,9252.98108005798
"pi_32.1",0.282863300161426,0.230030767914347,0.00867583038754866,0.223894748797695,0.84911820361543,1.0006878021934,12088.0722135671,15192.2990630615
"pi_33.1",0.252629345448612,0.208705816500956,0.00798326748780445,0.198860257250033,0.777189719034035,1.00007423106742,24433.7925183014,23257.2593957497
"pi_34.1",0.189277575332628,0.139217967662955,0.0117167331536958,0.158779165115004,0.533019814079735,1.00066343616211,2201.94465018364,3618.87755454628
"pi_35.1",0.410603680454764,0.282470639137983,0.0150411189614321,0.367493211592697,0.958374887595974,1.00266328352796,2839.75165505255,13018.0340173135
"pi_36.1",0.163567131159829,0.154011496409404,0.00451762638538834,0.117542938809724,0.577528432141501,1.00015699575759,8072.35059549114,9601.45061867297
"pi_37.1",0.478960983158713,0.257783031375951,0.0349118726817625,0.474700823642813,0.951391158124762,1.00086598678311,2694.19979479244,5461.96391502504
"pi_38.1",0.363859307119166,0.254699931984125,0.0138902766735385,0.321461434626843,0.904734085380442,1.00005492098515,77163.9647406022,79776.0191443721
"pi_38.2",0.372301390380246,0.258779171629729,0.0143909847376331,0.330237048355332,0.91662965408173,1.00002032827946,53802.8938760108,61856.7723866403
"pi_38.3",0.357556783076794,0.25090832481488,0.0134049946970039,0.315533974764146,0.89409460924717,1.00003454974354,96884.6208215345,94182.443807293
"pi_39.1",0.37842883325872,0.269909808850596,0.0143497521669925,0.32628926386169,0.94134542305649,1.00231093563703,1175.12082567591,6007.51928943903
"pi_40.1",0.395811442272199,0.268636870571985,0.0154395157318449,0.356721054009103,0.938444664072631,1.000418471011,19646.9669123694,33830.8602087143
"pi_41.1",0.452871519746464,0.284451292834728,0.0193059838706653,0.430936736223249,0.965338040411526,1.00017321919507,11738.0691921844,41318.9739984033
"pi_42.1",0.112848499543722,0.1082184741851,0.00296004379464754,0.0805770107108737,0.402255930731834,1.0003060933166,17783.6179957328,19443.1304770259
"pi_43.1",0.296945315615634,0.2393372616209,0.00921759625572196,0.235989674829124,0.878588823837989,1.00033044718891,7350.57274019347,10445.7997206905
"pi_43.2",0.362829973792669,0.267943661400044,0.0121167853115875,0.307205247128514,0.935115138403909,1.00057006707031,4678.39081524844,13799.1830832008
"pi_44.1",0.202645902181728,0.178794105276272,0.00569222490396453,0.152486761980698,0.669395298460164,1.00040074849444,12494.1501117362,15187.7789107357
