block,hierarchy,granularity,n_cancers_with_block,n_cancers_in_test,block_presence_eta,avg_pip_screening_eta,n_covs_in_block
0,epithelial_class,2a_3bin,29,27,,0.0631593166505535,1
0,epithelial_class,2b_6bin,29,27,,0.0824764167300205,1
0,epithelial_class,2c_10bin,29,27,,0.3901925307041302,1
0,germ_layer,3a_3bin,29,22,,0.0626633022980594,1
0,germ_layer,3b_mid,29,22,,0.1829194966065906,1
0,hoadley,5a_4plus_unassigned,29,24,,0.2221854134021889,1
0,hoadley,5c_iclusters,29,16,,0.908872640076442,1
0,sex_composition,4_4bin,29,29,,0.2362500098023325,1
0,tissue_origin,1a_5bin,29,29,,0.0581108687065317,1
0,tissue_origin,1b_11bin,29,29,,0.3295893342170731,1
1,epithelial_class,2a_3bin,29,27,,0.2170659788897489,1
1,epithelial_class,2b_6bin,29,27,,0.2729718946780502,1
1,epithelial_class,2c_10bin,29,27,,0.6432297062725162,1
1,germ_layer,3a_3bin,29,22,,0.0485231962282522,1
1,germ_layer,3b_mid,29,22,,0.5058122306315059,1
1,hoadley,5a_4plus_unassigned,29,24,,0.2796329517247052,1
1,hoadley,5c_iclusters,29,16,,0.9871896527795272,1
1,sex_composition,4_4bin,29,29,,0.0661552213799427,1
1,tissue_origin,1a_5bin,29,29,,0.1669984907332675,1
1,tissue_origin,1b_11bin,29,29,,0.4666239646815009,1
2,epithelial_class,2a_3bin,29,27,,0.1881638279700307,1
2,epithelial_class,2b_6bin,29,27,,0.1557480556408959,1
2,epithelial_class,2c_10bin,29,27,,0.2040581309160802,1
2,germ_layer,3a_3bin,29,22,,0.2714303235968967,1
2,germ_layer,3b_mid,29,22,,0.5235103716648434,1
2,hoadley,5a_4plus_unassigned,29,24,,0.1373346622915652,1
2,hoadley,5c_iclusters,29,16,,0.9996912084816648,1
2,sex_composition,4_4bin,29,29,,0.0516578389328045,1
2,tissue_origin,1a_5bin,29,29,,0.2945281790703277,1
2,tissue_origin,1b_11bin,29,29,,0.3280486834138663,1
3,epithelial_class,2a_3bin,19,27,0.08571428571428572,0.10690333726280575,2
3,epithelial_class,2b_6bin,19,27,0.40079365079365087,0.16006739382001478,2
3,epithelial_class,2c_10bin,19,27,0.5500000000000002,0.2868620528054435,2
3,germ_layer,3a_3bin,19,22,0.2562203228869895,0.0785539605163473,2
3,germ_layer,3b_mid,19,22,0.46566951566951564,0.26905866207329965,2
3,hoadley,5a_4plus_unassigned,19,24,0.3942307692307692,0.39789247237099357,2
3,hoadley,5c_iclusters,19,16,1.0,1.0,2
3,sex_composition,4_4bin,19,29,0.16746411483253598,0.35103853006872415,2
3,tissue_origin,1a_5bin,19,29,0.38207336523126006,0.173278409523816,2
3,tissue_origin,1b_11bin,19,29,0.7964912280701755,0.3410190955118906,2
4,epithelial_class,2a_3bin,22,27,0.012244897959183682,0.0566628460341951,1
4,epithelial_class,2b_6bin,22,27,0.1607142857142857,0.1040402746308099,1
4,epithelial_class,2c_10bin,22,27,0.3464285714285714,0.263217837040487,1
4,germ_layer,3a_3bin,22,22,0.1894736842105264,0.1115063473093159,1
4,germ_layer,3b_mid,22,22,0.43391812865497076,0.2781771314443943,1
